what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.team.ui",1276795159397
started,bundle,org.eclipse.team.svn.core,0.7.8.I20091023-1300,"org.eclipse.team.svn.core",1276795159405
started,bundle,org.eclipse.team.svn.ui,0.7.8.I20091023-1300,"org.eclipse.team.svn.ui",1276795159415
os,sysinfo,,,"linux",1276795159421
arch,sysinfo,,,"x86",1276795159421
ws,sysinfo,,,"gtk",1276795159421
locale,sysinfo,,,"en_US",1276795159422
processors,sysinfo,,,"4",1276795159422
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1276795159422
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1276795159422
java.specification.name,sysinfo,,,"Java Platform API Specification",1276795159422
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1276795159422
java.specification.version,sysinfo,,,"1.6",1276795159422
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1276795159422
java.version,sysinfo,,,"1.6.0_20",1276795159422
java.vm.info,sysinfo,,,"mixed mode",1276795159422
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1276795159422
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1276795159422
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1276795159422
java.vm.specification.version,sysinfo,,,"1.0",1276795159422
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1276795159422
java.vm.version,sysinfo,,,"16.3-b01",1276795159422
started,bundle,org.eclipse.equinox.p2.ui,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.ui",1276795168971
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1276795170913
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276795336004
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276795343722
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276795346061
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1276795346525
